Sample Nr,Date sampled,Time,Month,Location,Country,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
24,16-08-19,15:35,8,Zarechnoe,KG,streamflow,streamwater,42.647609,74.495405,13,7.5,80,40,0.64,0.013,0.07
25,16-08-19,16:04,8,Bridge,KG,streamflow,streamwater,42.758631,74.571057,20,8.1,520,250,2.83,0.104,0.07
26,16-08-19,19:16,8,well,KG,groundwater,groundwater,,,13,7.3,680,330,11.2,0.017,0.07
30,04-09-19,10:05,9,Alplager,KG,streamflow,streamwater,42.565388,74.479548,6,7.1,50,20,0.43,0.023,0.03
31,04-09-19,10:26,9,Radnik,KG,"spring, GW",groundwater,42.630273,74.491362,9,7.9,210,100,0.57,0.006,0.01
32,04-09-19,10:37,9,Baityk,KG,streamflow,streamwater,42.647609,74.495405,7,7.4,70,30,0.57,0.005,0.03
33,04-09-19,11:00,9,Zarechnoe,KG,streamflow,streamwater,42.758631,74.571057,13,7.6,110,50,0.57,0.006,0.02
34,04-09-19,12:18,9,Bridge,KG,streamflow,streamwater,42.950108,74.592261,18,7.9,700,340,2.67,0.123,0.05
35,04-09-19,12:40,9,Lake,KG,reservoir,reservoir,42.971494,74.602249,18,7.5,720,350,1.41,0.201,0.07
36,18-09-19,13:55,9,Alplager,KG,streamflow,streamwater,42.565388,74.479548,11,7.7,60,30,0.73,0.003,0.07
37,18-09-19,13:00,9,Baityk,KG,streamflow,streamwater,42.630273,74.491362,12,7.9,90,40,0.71,0.006,0.07
38,18-09-19,15:30,9,Zarechnoe,KG,streamflow,streamwater,42.647609,74.495405,19,8.1,140,70,0.69,0.006,0.06
39,18-09-19,17:00,9,Bridge,KG,streamflow,streamwater,42.758631,74.571057,19,8.1,340,170,1.81,0.029,0.07
40,18-09-19,17:30,9,well,KG,groundwater,groundwater,,,13,7.3,630,310,11.2,0.098,0.07
41,04-10-19,14:35,10,Alplager,KG,streamflow,streamwater,42.565388,74.479548,8,7.3,70,30,0.8,0.342,0.07
42,04-10-19,15:12,10,Radnik,KG,"spring, GW",groundwater,42.630273,74.491362,9,8.1,200,100,0.48,1.86,0.07
43,04-10-19,15:37,10,Baityk,KG,streamflow,streamwater,42.647609,74.495405,10,7.8,100,50,0.38,0.741,0.07
44,04-10-19,16:20,10,Zarechnoe,KG,streamflow,streamwater,42.758631,74.571057,12,7.6,110,60,0.97,0.323,0.07
45,04-10-19,18:00,10,Bridge,KG,streamflow,streamwater,42.950108,74.592261,15,8.1,330,160,1.96,0.304,0.07
